id,County,Population
16001,"Ada County, Idaho",456849
16007,"Bear Lake County, Idaho",6000
16011,"Bingham County, Idaho",45839
16025,"Camas County, Idaho",1048
16035,"Clearwater County, Idaho",8673
16051,"Jefferson County, Idaho",28534
41039,"Lane County, Oregon",373340
51181,"Surry County, Virginia",6523
51043,"Clarke County, Virginia",14423
51117,"Mecklenburg County, Virginia",30728
51015,"Augusta County, Virginia",75079
51075,"Goochland County, Virginia",22865
51113,"Madison County, Virginia",13170
51161,"Roanoke County, Virginia",93823
51025,"Brunswick County, Virginia",16520
51131,"Northampton County, Virginia",11885
51163,"Rockbridge County, Virginia",22570
51720,"Norton city, Virginia",3970
51570,"Colonial Heights city, Virginia",17428
51021,"Bland County, Virginia",6388
51023,"Botetourt County, Virginia",33343
51520,"Bristol city, Virginia",16912
51830,"Williamsburg city, Virginia",14927
51035,"Carroll County, Virginia",29801
06067,"Sacramento County, California",1524553
06017,"El Dorado County, California",188563
06053,"Monterey County, California",433410
06075,"San Francisco County, California",874961
06073,"San Diego County, California",3316073
06107,"Tulare County, California",461898
06023,"Humboldt County, California",135940
06003,"Alpine County, California",1039
06039,"Madera County, California",155433
06087,"Santa Cruz County, California",273962
06105,"Trinity County, California",12700
06065,"Riverside County, California",2411439
06071,"San Bernardino County, California",2149031
06041,"Marin County, California",259943
06061,"Placer County, California",385512
06089,"Shasta County, California",179212
06095,"Solano County, California",441829
06011,"Colusa County, California",21454
28029,"Copiah County, Mississippi",28501
28049,"Hinds County, Mississippi",238797
28145,"Union County, Mississippi",28507
28139,"Tippah County, Mississippi",22018
28035,"Forrest County, Mississippi",75224
28071,"Lafayette County, Mississippi",53590
28087,"Lowndes County, Mississippi",59150
28157,"Wilkinson County, Mississippi",8875
28065,"Jefferson Davis County, Mississippi",11339
28123,"Scott County, Mississippi",28332
28163,"Yazoo County, Mississippi",28565
28011,"Bolivar County, Mississippi",31848
28113,"Pike County, Mississippi",39532
28131,"Stone County, Mississippi",18276
28069,"Kemper County, Mississippi",9943
28133,"Sunflower County, Mississippi",26168
28001,"Adams County, Mississippi",31266
28033,"DeSoto County, Mississippi",178975
42045,"Delaware County, Pennsylvania",564554
42111,"Somerset County, Pennsylvania",74361
29123,"Madison County, Missouri",12179
29217,"Vernon County, Missouri",20595
29147,"Nodaway County, Missouri",22359
29041,"Chariton County, Missouri",7483
29223,"Wayne County, Missouri",13195
29201,"Scott County, Missouri",38633
29011,"Barton County, Missouri",11797
29039,"Cedar County, Missouri",14043
29073,"Gasconade County, Missouri",14711
29121,"Macon County, Missouri",15199
29149,"Oregon County, Missouri",10647
29186,"Ste. Genevieve County, Missouri",17848
29067,"Douglas County, Missouri",13306
29083,"Henry County, Missouri",21735
29109,"Lawrence County, Missouri",38204
29169,"Pulaski County, Missouri",52425
29215,"Texas County, Missouri",25604
29027,"Callaway County, Missouri",44889
29053,"Cooper County, Missouri",17660
29075,"Gentry County, Missouri",6616
51191,"Washington County, Virginia",54071
51139,"Page County, Virginia",23788
51510,"Alexandria city, Virginia",157613
51650,"Hampton city, Virginia",135041
51013,"Arlington County, Virginia",233464
51027,"Buchanan County, Virginia",21788
51179,"Stafford County, Virginia",146773
51760,"Richmond city, Virginia",226622
51057,"Essex County, Virginia",10998
51185,"Tazewell County, Virginia",41603
51685,"Manassas Park city, Virginia",16986
51183,"Sussex County, Virginia",11377
51683,"Manassas city, Virginia",41174
51775,"Salem city, Virginia",25317
51037,"Charlotte County, Virginia",12040
51081,"Greensville County, Virginia",11525
53067,"Thurston County, Washington",279711
53013,"Columbia County, Washington",3992
72059,"Guayanilla Municipio, Puerto Rico",18514
72121,"Sabana Grande Municipio, Puerto Rico",22560
72067,"Hormigueros Municipio, Puerto Rico",15943
72141,"Utuado Municipio, Puerto Rico",28676
72054,"Florida Municipio, Puerto Rico",11697
72099,"Moca Municipio, Puerto Rico",36161
72123,"Salinas Municipio, Puerto Rico",28109
29133,"Mississippi County, Missouri",13574
29153,"Ozark County, Missouri",9207
29017,"Bollinger County, Missouri",12225
47165,"Sumner County, Tennessee",183437
47169,"Trousdale County, Tennessee",10231
47027,"Clay County, Tennessee",7654
17139,"Moultrie County, Illinois",14641
17149,"Pike County, Illinois",15672
17151,"Pope County, Illinois",4203
17163,"St. Clair County, Illinois",262338
17173,"Shelby County, Illinois",21737
17019,"Champaign County, Illinois",209922
17013,"Calhoun County, Illinois",4830
17053,"Ford County, Illinois",13270
17089,"Kane County, Illinois",531376
17093,"Kendall County, Illinois",126054
17009,"Brown County, Illinois",6628
17121,"Marion County, Illinois",37743
17125,"Mason County, Illinois",13621
17075,"Iroquois County, Illinois",27812
17025,"Clay County, Illinois",13287
17059,"Gallatin County, Illinois",5064
17133,"Monroe County, Illinois",34168
17181,"Union County, Illinois",16968
17201,"Winnebago County, Illinois",284819
17153,"Pulaski County, Illinois",5510
17169,"Schuyler County, Illinois",6953
17045,"Edgar County, Illinois",17407
17007,"Boone County, Illinois",53537
17011,"Bureau County, Illinois",33122
17029,"Coles County, Illinois",51353
17033,"Crawford County, Illinois",18972
17155,"Putnam County, Illinois",5721
17039,"De Witt County, Illinois",15932
17103,"Lee County, Illinois",34389
17117,"Macoupin County, Illinois",45463
17159,"Richland County, Illinois",15766
17189,"Washington County, Illinois",14058
41067,"Washington County, Oregon",589481
41007,"Clatsop County, Oregon",39102
42023,"Cameron County, Pennsylvania",4611
42017,"Bucks County, Pennsylvania",626806
42077,"Lehigh County, Pennsylvania",365052
42031,"Clarion County, Pennsylvania",38715
42059,"Greene County, Pennsylvania",36870
42079,"Luzerne County, Pennsylvania",317663
42037,"Columbia County, Pennsylvania",65715
42065,"Jefferson County, Pennsylvania",43846
42099,"Perry County, Pennsylvania",46053
42113,"Sullivan County, Pennsylvania",6135
44003,"Kent County, Rhode Island",163869
44009,"Washington County, Rhode Island",126060
45071,"Newberry County, South Carolina",38194
45027,"Clarendon County, South Carolina",33957
45085,"Sumter County, South Carolina",106757
45011,"Barnwell County, South Carolina",21346
45031,"Darlington County, South Carolina",67027
45091,"York County, South Carolina",265872
45021,"Cherokee County, South Carolina",56895
45053,"Jasper County, South Carolina",28657
45061,"Lee County, South Carolina",17365
45001,"Abbeville County, South Carolina",24627
46085,"Lyman County, South Dakota",3848
46039,"Deuel County, South Dakota",4318
06021,"Glenn County, California",27976
06007,"Butte County, California",225817
06031,"Kings County, California",150691
06063,"Plumas County, California",18660
06079,"San Luis Obispo County, California",282165
06019,"Fresno County, California",984521
06029,"Kern County, California",887641
06059,"Orange County, California",3168044
06111,"Ventura County, California",847263
06009,"Calaveras County, California",45514
06101,"Sutter County, California",96109
06081,"San Mateo County, California",767423
06109,"Tuolumne County, California",54045
06077,"San Joaquin County, California",742603
06005,"Amador County, California",38429
08095,"Phillips County, Colorado",4290
08007,"Archuleta County, Colorado",13253
08031,"Denver County, Colorado",705576
08061,"Kiowa County, Colorado",1489
08055,"Huerfano County, Colorado",6679
08009,"Baca County, Colorado",3561
08047,"Gilpin County, Colorado",6018
08063,"Kit Carson County, Colorado",7447
08051,"Gunnison County, Colorado",16802
08079,"Mineral County, Colorado",824
08091,"Ouray County, Colorado",4796
08115,"Sedgwick County, Colorado",2322
08123,"Weld County, Colorado",305345
08027,"Custer County, Colorado",4776
08023,"Costilla County, Colorado",3745
08035,"Douglas County, Colorado",336041
08065,"Lake County, Colorado",7751
08067,"La Plata County, Colorado",55617
08097,"Pitkin County, Colorado",17926
08105,"Rio Grande County, Colorado",11305
08011,"Bent County, Colorado",5787
08025,"Crowley County, Colorado",5754
08111,"San Juan County, Colorado",589
08069,"Larimer County, Colorado",344786
08075,"Logan County, Colorado",22380
08113,"San Miguel County, Colorado",8049
08119,"Teller County, Colorado",24524
08039,"Elbert County, Colorado",25717
08071,"Las Animas County, Colorado",14266
08073,"Lincoln County, Colorado",5585
08117,"Summit County, Colorado",30649
08003,"Alamosa County, Colorado",16107
08029,"Delta County, Colorado",30565
08043,"Fremont County, Colorado",47321
08085,"Montrose County, Colorado",41686
08087,"Morgan County, Colorado",28517
08109,"Saguache County, Colorado",6592
08099,"Prowers County, Colorado",12022
08121,"Washington County, Colorado",4868
08049,"Grand County, Colorado",15303
08089,"Otero County, Colorado",18282
08014,"Broomfield County, Colorado",67886
10005,"Sussex County, Delaware",224384
11001,"District of Columbia, District of Columbia",692683
09009,"New Haven County, Connecticut",857513
09003,"Hartford County, Connecticut",893561
47157,"Shelby County, Tennessee",936374
47077,"Henderson County, Tennessee",27977
47089,"Jefferson County, Tennessee",53679
47153,"Sequatchie County, Tennessee",14816
47017,"Carroll County, Tennessee",27886
47037,"Davidson County, Tennessee",687488
47135,"Perry County, Tennessee",7962
47121,"Meigs County, Tennessee",12104
47075,"Haywood County, Tennessee",17623
47125,"Montgomery County, Tennessee",200180
47061,"Grundy County, Tennessee",13344
47029,"Cocke County, Tennessee",35552
47041,"DeKalb County, Tennessee",19847
47101,"Lewis County, Tennessee",12027
47131,"Obion County, Tennessee",30365
47167,"Tipton County, Tennessee",61447
47045,"Dyer County, Tennessee",37416
47065,"Hamilton County, Tennessee",360919
47139,"Polk County, Tennessee",16814
47185,"White County, Tennessee",26800
47163,"Sullivan County, Tennessee",157050
36095,"Schoharie County, New York",31222
36035,"Fulton County, New York",53646
36083,"Rensselaer County, New York",159185
36033,"Franklin County, New York",50477
36081,"Queens County, New York",2287388
36115,"Washington County, New York",61616
36061,"New York County, New York",1631993
36011,"Cayuga County, New York",77425
36087,"Rockland County, New York",324422
36063,"Niagara County, New York",210820
36031,"Essex County, New York",37459
36059,"Nassau County, New York",1356509
36097,"Schuyler County, New York",17920
36017,"Chenango County, New York",47909
36045,"Jefferson County, New York",112842
36103,"Suffolk County, New York",1483832
36121,"Wyoming County, New York",40305
36075,"Oswego County, New York",118339
36117,"Wayne County, New York",90519
36007,"Broome County, New York",193188
08053,"Hinsdale County, Colorado",857
36029,"Erie County, New York",919355
36105,"Sullivan County, New York",75116
36071,"Orange County, New York",380085
37087,"Haywood County, North Carolina",61053
37067,"Forsyth County, North Carolina",375195
18089,"Lake County, Indiana",485707
18107,"Montgomery County, Indiana",38287
18001,"Adams County, Indiana",35376
18041,"Fayette County, Indiana",23194
18021,"Clay County, Indiana",26234
18037,"Dubois County, Indiana",42543
18047,"Franklin County, Indiana",22774
18059,"Hancock County, Indiana",75164
18067,"Howard County, Indiana",82331
18115,"Ohio County, Indiana",5874
18121,"Parke County, Indiana",16946
18135,"Randolph County, Indiana",24926
18007,"Benton County, Indiana",8677
18013,"Brown County, Indiana",15064
18133,"Putnam County, Indiana",37384
18175,"Washington County, Indiana",27848
18027,"Daviess County, Indiana",33120
18065,"Henry County, Indiana",48255
18083,"Knox County, Indiana",37065
18095,"Madison County, Indiana",129455
18125,"Pike County, Indiana",12378
18131,"Pulaski County, Indiana",12559
18151,"Steuben County, Indiana",34453
56021,"Laramie County, Wyoming",98320
56039,"Teton County, Wyoming",23280
48407,"San Jacinto County, Texas",28180
48459,"Upshur County, Texas",41018
48473,"Waller County, Texas",51832
48493,"Wilson County, Texas",49173
48219,"Hockley County, Texas",23064
48329,"Midland County, Texas",168167
48299,"Llano County, Texas",21047
48147,"Fannin County, Texas",34537
48041,"Brazos County, Texas",222981
48165,"Gaines County, Texas",20706
48179,"Gray County, Texas",22410
48237,"Jack County, Texas",8852
48035,"Bosque County, Texas",18296
48029,"Bexar County, Texas",1952843
48023,"Baylor County, Texas",3577
48121,"Denton County, Texas",833822
48167,"Galveston County, Texas",332885
48393,"Roberts County, Texas",805
48463,"Uvalde County, Texas",26920
48037,"Bowie County, Texas",93373
48263,"Kent County, Texas",647
48425,"Somervell County, Texas",8860
48199,"Hardin County, Texas",56765
48289,"Leon County, Texas",17225
48351,"Newton County, Texas",13914
48389,"Reeves County, Texas",15492
48453,"Travis County, Texas",1226805
48087,"Collingsworth County, Texas",2969
48143,"Erath County, Texas",41841
48345,"Motley County, Texas",1252
48083,"Coleman County, Texas",8334
48325,"Medina County, Texas",50057
48213,"Henderson County, Texas",81070
48277,"Lamar County, Texas",49611
48267,"Kimble County, Texas",4373
48477,"Washington County, Texas",35163
48429,"Stephens County, Texas",9364
48003,"Andrews County, Texas",18036
48177,"Gonzales County, Texas",20731
48305,"Lynn County, Texas",5830
48505,"Zapata County, Texas",14304
48221,"Hood County, Texas",58318
48269,"King County, Texas",237
48073,"Cherokee County, Texas",52118
48119,"Delta County, Texas",5249
48253,"Jones County, Texas",19943
09015,"Windham County, Connecticut",116566
09011,"New London County, Connecticut",267390
09007,"Middlesex County, Connecticut",163053
09013,"Tolland County, Connecticut",151063
09001,"Fairfield County, Connecticut",943926
12133,"Washington County, Florida",24764
12031,"Duval County, Florida",936186
12007,"Bradford County, Florida",27317
12009,"Brevard County, Florida",585507
12019,"Clay County, Florida",211405
12067,"Lafayette County, Florida",8637
12069,"Lake County, Florida",345867
12089,"Nassau County, Florida",83098
12103,"Pinellas County, Florida",964666
12105,"Polk County, Florida",686218
12111,"St. Lucie County, Florida",312947
12043,"Glades County, Florida",13516
12051,"Hendry County, Florida",40732
12061,"Indian River County, Florida",153989
12063,"Jackson County, Florida",47945
12109,"St. Johns County, Florida",244674
12117,"Seminole County, Florida",461402
12005,"Bay County, Florida",182161
12035,"Flagler County, Florida",109801
12045,"Gulf County, Florida",15576
12077,"Liberty County, Florida",8345
12097,"Osceola County, Florida",351955
12131,"Walton County, Florida",68262
12039,"Gadsden County, Florida",45945
12065,"Jefferson County, Florida",14161
12083,"Marion County, Florida",353526
12049,"Hardee County, Florida",27131
12093,"Okeechobee County, Florida",41144
12095,"Orange County, Florida",1349746
12041,"Gilchrist County, Florida",17953
12121,"Suwannee County, Florida",44046
12001,"Alachua County, Florida",265443
12013,"Calhoun County, Florida",14362
12015,"Charlotte County, Florida",181067
12029,"Dixie County, Florida",16589
12085,"Martin County, Florida",159065
12115,"Sarasota County, Florida",419496
12081,"Manatee County, Florida",384213
12017,"Citrus County, Florida",145169
12003,"Baker County, Florida",28211
12113,"Santa Rosa County, Florida",174755
12073,"Leon County, Florida",289770
12011,"Broward County, Florida",1926205
12087,"Monroe County, Florida",75798
12053,"Hernando County, Florida",186313
12057,"Hillsborough County, Florida",1422278
12123,"Taylor County, Florida",21870
12129,"Wakulla County, Florida",32321
13189,"McDuffie County, Georgia",21455
13211,"Morgan County, Georgia",18507
13149,"Heard County, Georgia",11736
13095,"Dougherty County, Georgia",89703
13111,"Fannin County, Georgia",25395
13153,"Houston County, Georgia",153507
13175,"Laurens County, Georgia",47405
13255,"Spalding County, Georgia",65306
13271,"Telfair County, Georgia",16035
18171,"Warren County, Indiana",8237
18165,"Vermillion County, Indiana",15539
18179,"Wells County, Indiana",28011
18003,"Allen County, Indiana",372575
18031,"Decatur County, Indiana",26562
18035,"Delaware County, Indiana",115020
18043,"Floyd County, Indiana",77320
18077,"Jefferson County, Indiana",32201
18079,"Jennings County, Indiana",27710
18081,"Johnson County, Indiana",153716
18103,"Miami County, Indiana",35815
18109,"Morgan County, Indiana",69922
18051,"Gibson County, Indiana",33656
18111,"Newton County, Indiana",13992
18117,"Orange County, Indiana",19545
18141,"St. Joseph County, Indiana",270216
18085,"Kosciusko County, Indiana",79035
18099,"Marshall County, Indiana",46461
18155,"Switzerland County, Indiana",10685
18163,"Vanderburgh County, Indiana",181291
18009,"Blackford County, Indiana",12013
18143,"Scott County, Indiana",23759
18105,"Monroe County, Indiana",146461
18039,"Elkhart County, Indiana",204558
18025,"Crawford County, Indiana",10569
18017,"Cass County, Indiana",37880
18097,"Marion County, Indiana",951869
18177,"Wayne County, Indiana",66342
19023,"Butler County, Iowa",14628
19071,"Fremont County, Iowa",6946
19079,"Hamilton County, Iowa",14997
19173,"Taylor County, Iowa",6167
19175,"Union County, Iowa",12358
19195,"Worth County, Iowa",7445
19159,"Ringgold County, Iowa",4964
19001,"Adair County, Iowa",7085
19037,"Chickasaw County, Iowa",12026
19039,"Clarke County, Iowa",9360
19059,"Dickinson County, Iowa",17127
19103,"Johnson County, Iowa",148577
19107,"Keokuk County, Iowa",10188
19171,"Tama County, Iowa",17032
19179,"Wapello County, Iowa",35141
19069,"Franklin County, Iowa",10162
19027,"Carroll County, Iowa",20281
19031,"Cedar County, Iowa",18457
19067,"Floyd County, Iowa",15786
19073,"Greene County, Iowa",8950
19115,"Louisa County, Iowa",11178
19119,"Lyon County, Iowa",11776
13291,"Union County, Georgia",23288
37017,"Bladen County, North Carolina",33407
37031,"Carteret County, North Carolina",69070
37015,"Bertie County, North Carolina",19380
37117,"Martin County, North Carolina",22849
37143,"Perquimans County, North Carolina",13430
37157,"Rockingham County, North Carolina",91077
37029,"Camden County, North Carolina",10551
37071,"Gaston County, North Carolina",219271
37125,"Moore County, North Carolina",97294
37167,"Stanly County, North Carolina",61588
37199,"Yancey County, North Carolina",17760
37037,"Chatham County, North Carolina",71338
37101,"Johnston County, North Carolina",196870
37145,"Person County, North Carolina",39345
37009,"Ashe County, North Carolina",26863
37107,"Lenoir County, North Carolina",56756
37133,"Onslow County, North Carolina",195069
37161,"Rutherford County, North Carolina",66599
37197,"Yadkin County, North Carolina",37602
37023,"Burke County, North Carolina",89968
38097,"Traill County, North Dakota",8008
38021,"Dickey County, North Dakota",4938
38101,"Ward County, North Dakota",68812
38067,"Pembina County, North Dakota",6947
38041,"Hettinger County, North Dakota",2547
38017,"Cass County, North Dakota",176975
38029,"Emmons County, North Dakota",3310
38077,"Richland County, North Dakota",16254
38001,"Adams County, North Dakota",2311
38027,"Eddy County, North Dakota",2301
38057,"Mercer County, North Dakota",8462
38073,"Ransom County, North Dakota",5314
38085,"Sioux County, North Dakota",4373
38033,"Golden Valley County, North Dakota",1845
38095,"Towner County, North Dakota",2224
38023,"Divide County, North Dakota",2335
38081,"Sargent County, North Dakota",3872
39105,"Meigs County, Ohio",23078
39021,"Champaign County, Ohio",38845
39057,"Greene County, Ohio",166502
39087,"Lawrence County, Ohio",60184
39115,"Morgan County, Ohio",14640
39175,"Wyandot County, Ohio",22000
39043,"Erie County, Ohio",74780
39091,"Logan County, Ohio",45316
39153,"Summit County, Ohio",541334
16059,"Lemhi County, Idaho",7847
16075,"Payette County, Idaho",23260
16009,"Benewah County, Idaho",9138
16017,"Bonner County, Idaho",43611
16033,"Clark County, Idaho",913
16037,"Custer County, Idaho",4169
16039,"Elmore County, Idaho",26743
16043,"Fremont County, Idaho",13020
16065,"Madison County, Idaho",39100
16079,"Shoshone County, Idaho",12609
16049,"Idaho County, Idaho",16411
16081,"Teton County, Idaho",11426
16077,"Power County, Idaho",7671
16087,"Washington County, Idaho",10057
17067,"Hancock County, Illinois",17983
17119,"Madison County, Illinois",264776
17063,"Grundy County, Illinois",50666
17091,"Kankakee County, Illinois",110637
17131,"Mercer County, Illinois",15589
17043,"DuPage County, Illinois",929060
17003,"Alexander County, Illinois",6260
17129,"Menard County, Illinois",12306
17099,"LaSalle County, Illinois",109737
17031,"Cook County, Illinois",5198275
17115,"Macon County, Illinois",105528
17177,"Stephenson County, Illinois",45093
17191,"Wayne County, Illinois",16402
17203,"Woodford County, Illinois",38700
17055,"Franklin County, Illinois",38923
17109,"McDonough County, Illinois",30479
17111,"McHenry County, Illinois",307714
20071,"Greeley County, Kansas",1185
20051,"Ellis County, Kansas",28775
20107,"Linn County, Kansas",9671
20175,"Seward County, Kansas",22349
20091,"Johnson County, Kansas",591506
20121,"Miami County, Kansas",33417
20207,"Woodson County, Kansas",3157
20135,"Ness County, Kansas",2876
20011,"Bourbon County, Kansas",14608
20097,"Kiowa County, Kansas",2505
20177,"Shawnee County, Kansas",177852
20019,"Chautauqua County, Kansas",3323
20155,"Reno County, Kansas",62765
20043,"Doniphan County, Kansas",7684
20081,"Haskell County, Kansas",4018
20171,"Scott County, Kansas",4917
20013,"Brown County, Kansas",9626
20147,"Phillips County, Kansas",5340
20039,"Decatur County, Kansas",2860
21079,"Garrard County, Kentucky",17445
21037,"Campbell County, Kentucky",92861
21063,"Elliott County, Kentucky",7510
21123,"Larue County, Kentucky",14204
21167,"Mercer County, Kentucky",21592
21207,"Russell County, Kentucky",17778
21229,"Washington County, Kentucky",12023
21009,"Barren County, Kentucky",43884
21091,"Hancock County, Kentucky",8720
21093,"Hardin County, Kentucky",108527
21149,"McLean County, Kentucky",9283
21197,"Powell County, Kentucky",12304
21033,"Caldwell County, Kentucky",12702
21019,"Boyd County, Kentucky",47682
21067,"Fayette County, Kentucky",320601
21115,"Johnson County, Kentucky",22634
21175,"Morgan County, Kentucky",13288
21199,"Pulaski County, Kentucky",64350
21001,"Adair County, Kentucky",19222
21025,"Breathitt County, Kentucky",12977
21099,"Hart County, Kentucky",18729
21223,"Trimble County, Kentucky",8558
21105,"Hickman County, Kentucky",4510
21143,"Lyon County, Kentucky",8271
21135,"Lewis County, Kentucky",13417
21239,"Woodford County, Kentucky",26318
21131,"Leslie County, Kentucky",10283
21127,"Lawrence County, Kentucky",15671
21145,"McCracken County, Kentucky",65268
46015,"Brule County, South Dakota",5258
46053,"Gregory County, South Dakota",4186
46099,"Minnehaha County, South Dakota",188674
46025,"Clark County, South Dakota",3685
46077,"Kingsbury County, South Dakota",4944
46027,"Clay County, South Dakota",13957
46041,"Dewey County, South Dakota",5833
46065,"Hughes County, South Dakota",17608
46111,"Sanborn County, South Dakota",2379
46059,"Hand County, South Dakota",3256
46135,"Yankton County, South Dakota",22717
46005,"Beadle County, South Dakota",18346
